Date/Time,Word Count,de-DE,en
2018.06.13-16.40.26,0,0,0
2018.06.13-17.17.12,5,0,5
2018.06.13-17.24.02,1,0,1
2018.06.13-18.19.49,6,0,6
2018.06.13-18.41.16,12,0,12
2018.06.13-18.43.51,5,0,5
2018.06.13-18.44.49,3,0,3
